,,,,,
,,,,,
2024/4/25,22Z1029X 21Z1007C 22Z1034,,,,
,和名,ラテン名,被度,群度,個体数
A-1,ヘラオオバコ,Plantago lanceolata,2,2,7
A-1,マルバヤハズソウ,Kummerowia stipulacea,5,5,120
A-1,ヒメジョオン,Erigeron annuus,1,1,1
A-1,,,,,
A-1,,,,,
A-2,ヘラオオバコ,Plantago lanceolata,1,1,4
A-2,マルバヤハズソウ,Kummerowia stipulacea,5,4,150
A-2,？,,2,2,8
A-2,？②,,1,2,15
A-2,,,,,
A-2,,,,,
A-3,ヘラオオバコ,Plantago lanceolata,4,3,25
A-3,マルバヤハズソウ,Kummerowia stipulacea,5,4,180
A-3,？③,,,,
A-3,,,,,
A-3,,,,,
A-3,,,,,
A-4,ヘラオオバコ,Plantago lanceolata,3,3,29
A-4,マルバヤハズソウ,Kummerowia stipulacea,5,4,70
A-4,,,,,
A-4,,,,,
A-4,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2024/4/25,22Z1061F 22Z1022A 22Z1081M,,,,
,和名,ラテン名,被度,群度,個体数
B-1,マルバヤハズソウ,Kummerowia stipulacea,3,3,800
B-1,ノビル, Allium macrostemon,2,2,10
B-1,オランダミミナグサ,Cerastium glomeratum,#ERROR!,1,100
B-1,,,,,
B-2,マルバヤハズソウ,Kummerowia stipulacea,4,4,2000
B-2,ノビル, Allium macrostemon,r,1,1
B-2,ヘラオオバコ,Plantago lanceolata,3,2,20
B-2,,,,,
B-3,マルバヤハズソウ,Kummerowia stipulacea,3,2,400
B-3,ノビル, Allium macrostemon,r,1,0
B-3,ヘラオオバコ,Plantago lanceolata,3,3,10
B-3,オランダミミナグサ,Cerastium glomeratum,2,2,10
B-4,マルバヤハズソウ,Kummerowia stipulacea,4,4,700
B-4,ヘラオオバコ,Plantago lanceolata,2,2,10
B-4,オランダミミナグサ,Cerastium glomeratum,1,2,5
B-4,,,,,
,,,,,
,,,,,
,,,,,
2024/4/25,22Z1086U 22Z1083B,,,,
,和名,ラテン名,被度,群度,個体数
C-1,ヘラオオバコ,,１,１,２
C-1,オミナイシ,,１,２,４
C-1,マルバヤハズ,,１,３,200
C-1,メリケンカルカヤ,,１,１,１
C-2,ヘラオオバコ,,１,２,３
C-2,オミナイシ,,１,２,７
C-2,マルバヤハズ,,１,３,100
C-2,スズメノカタビラ,,１,１,１
C-2,メリケンカルカヤ,,３,２,４
C-3,マルバヤハズ,,１,３,250
C-3,スズメノカタビラ,,１,２,４
C-3,メリケンカルカヤ,,２,２,２
C-4,ヘラオオバコ,,１,１,１
C-4,マルバヤハズ,,１,２,300
C-4,スズメノカタビラ,,２,２,７
C-4,メリケンカルカヤ,,３,２,４